"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order","presented_choices"
"","","","","","html-button-response","20","51080","0.0-4.16-0.16-0.16","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","404","","4","Intro Trial","",""
"","","","","","html-button-response","21","51506","0.0-4.17-0.17-0.17","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","424","","0","Intro Trial","",""
"","","","","","html-button-response","22","51858","0.0-4.18-0.18-0.18","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","351","","0","Intro Trial","",""
"","","","","","html-button-response","23","52138","0.0-4.19-0.19-0.19","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","279","","1","Intro Trial","",""
"","","","","","html-button-response","24","52942","0.0-4.20-0.20-0.20","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","803","","0","Intro Trial","",""
"","","","","","html-button-response","25","53233","0.0-4.21-0.21-0.21","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","290","","1","Intro Trial","",""
"","","","","","html-button-response","26","53937","0.0-4.22-0.22-0.22","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","703","","1","Intro Trial","",""
"","","","","","html-button-response","27","54152","0.0-4.23-0.23-0.23","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","214","","2","Intro Trial","",""
"","","","","","html-button-response","28","54793","0.0-4.24-0.24-0.24","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","640","","1","Intro Trial","",""
"","","","","","html-button-response","29","55052","0.0-4.25-0.25-0.25","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","258","","2","Intro Trial","",""
