"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","question_order","phase","presented_choices"
"","","","","","html-keyboard-response","20","22462","0.0-20.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","1254","<p>Welcome to the test phase! <br><br> You will do six problems. Your performance bonus will be calculated based on <b> how you accurately and efficiently use Omgne Sort</b>. <br><br> Press Enter to continue.<p/>","enter","","",""
"","","","","","html-keyboard-response","21","22976","0.0-21.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","null","<p> + <p/>","null","","Initial Order: 4,2,3,0,1",""
"","","","","","html-button-response","22","24654","0.0-22.0-0.0-0.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","1671","","5","","Test 0",""
"","","","","","html-keyboard-response","23","25133","0.0-23.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","474","[""You sorted incorrectly. <br><br> <img src='G_7.jpg' height='90'><img src='G_9.jpg' height='90'><img src='G_5.jpg' height='90'><img src='G_3.jpg' height='90'><img src='G_6.jpg' height='90'><br><br> Your final order is 5,3,4,1,2<br><br> Press Enter to continue.""]","enter","","Final Order: 5,3,4,1,2",""
"","","","","","html-keyboard-response","24","25640","0.0-24.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","null","<p> + <p/>","null","","Initial Order: 5,1,7,6,4,3,2,0",""
"","","","","","html-button-response","25","27268","0.0-25.0-0.0-0.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","1623","","8","","Test 1",""
"","","","","","html-keyboard-response","26","27722","0.0-26.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","450","[""You sorted incorrectly. <br><br> <img src='G_8.jpg' height='90'><img src='G_4.jpg' height='90'><img src='G_3.jpg' height='90'><img src='G_1.jpg' height='90'><img src='G_6.jpg' height='90'><img src='G_7.jpg' height='90'><img src='G_2.jpg' height='90'><img src='G_5.jpg' height='90'><br><br> Your final order is 6,2,8,7,5,4,3,1<br><br> Press Enter to continue.""]","enter","","Final Order: 6,2,8,7,5,4,3,1",""
"","","","","","html-keyboard-response","27","28238","0.0-27.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","null","<p> + <p/>","null","","Initial Order: 2,4,1,3,0",""
"","","","","","html-button-response","28","29897","0.0-28.0-0.0-0.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","1654","","5","","Test 2",""
"","","","","","html-keyboard-response","29","30351","0.0-29.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","451","[""You sorted incorrectly. <br><br> <img src='G_7.jpg' height='90'><img src='G_6.jpg' height='90'><img src='G_5.jpg' height='90'><img src='G_4.jpg' height='90'><img src='G_1.jpg' height='90'><br><br> Your final order is 3,5,2,4,1<br><br> Press Enter to continue.""]","enter","","Final Order: 3,5,2,4,1",""
"","","","","","html-keyboard-response","30","30866","0.0-30.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","null","<p> + <p/>","null","","Initial Order: 0,5,1,7,3,6,2,4",""
"","","","","","html-button-response","31","33370","0.0-31.0-0.0-0.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","2501","","8","","Test 3",""
"","","","","","html-keyboard-response","32","34045","0.0-32.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","674","[""You sorted incorrectly. <br><br> <img src='G_4.jpg' height='90'><img src='G_10.jpg' height='90'><img src='G_7.jpg' height='90'><img src='G_3.jpg' height='90'><img src='G_8.jpg' height='90'><img src='G_9.jpg' height='90'><img src='G_5.jpg' height='90'><img src='G_1.jpg' height='90'><br><br> Your final order is 1,6,2,8,4,7,3,5<br><br> Press Enter to continue.""]","enter","","Final Order: 1,6,2,8,4,7,3,5",""
"","","","","","html-keyboard-response","33","34551","0.0-33.0","6","1","2025-02-02 02:42:14","8171f7adbf662c8213b5fc4626e0469c","103.140.232.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en,zh-CN;q=0.9,zh;q=0.8,ja;q=0.7,zh-TW;q=0.6","6500b3922f1493c553f2037f","679edb085803f58d6bbd31ca","0ncxm8n2h79","","null","<p> + <p/>","null","","Initial Order: 0,4,3,1,2",""
